ЗАО МС Банк Рус;2789
"АО ""Гринфилдбанк""";2711
Банк СКТ (ОАО);435
"ООО КБ ""Объединенный банк развития""";3345
"ПАО КБ ""УБРиР""";429
"КБ ""Геобанк"" (ООО)";2027
Джей энд Ти Банк (АО);3061
Банк ВТБ (ПАО);1000
"ООО КБ ""Аксонбанк""";680
"АКБ ""Ресурс-траст"" (ЗАО)";3122
"ПАО АКБ ""РБР""";2782
"ООО КБ ""Монолит""";1967
"ООО КБ ""ГТ банк""";665
"""РФИ БАНК"" ЗАО";3351
"Банк ""Прайм Финанс"" (ОАО)";2758
"ОАО КБ ""Верхневолжский""";1084
"ОАО ""Межтопэнергобанк""";2956
ГПБ (ОАО);354
ЗАО ПРЦ;3306
"ОАО ""Дальневосточный банк""";843
ПАО РОСБАНК;2272
ОКЕАН БАНК (АО);1697
ТКБ ОАО;2210
"ПАО ""Евразийский банк""";969
"ООО КБ ""Наратбанк""";1902
"ОАО Банк ""Онего""";2484
"ОАО КБ ""Михайловский ПЖСБ""";2961
"КБ ""СОЦЭКОНОМБАНК"" ООО";2917
"ООО КБ ""Еврокапитал-Альянс""";2672
"АКБ ""Форштадт"" (ЗАО)";2208
НОРВИК БАНК (ОАО);1407
"КБ ""ЕВРОСТАНДАРТ"" (ЗАО)";3200
"ООО КБЭР ""Банк Казани""";708
"АКБ ""КЭБ"" (ЗАО)";3298
"ПАО ""РосДорБанк""";1573
"АО ""АЛЬФА-БАНК""";1326
"ОАО ""ПСКБ""";2551
"АО АКБ ""ЭКСПРЕСС-ВОЛГА""";3085
"ООО ""Хакасский муниципальный банк""";1049
"ООО КБ ""Уралфинанс""";1370
"""Королевский Банк Шотландии"" ЗАО";2594
"ООО ""Дойче Банк""";3328
"НКО ""21 ВЕК"" (ООО)";3309
"ПАО ""Тайм Банк""";3120
"АКБ ""ВЕК"" (ЗАО)";2299
"ЗАО ""ВОКБАНК""";312
"АО ""ИК Банк""";1732
"АО КБ ""Хлынов""";254
"АКБ ""АЗИМУТ"" (ОАО)";3154
"ОАО НКБ ""РАДИОТЕХБАНК""";1166
"ПАО ""РОСБАНК""";2272
"ПАО ""Великие Луки банк""";598
"АБ ""Девон-Кредит"" (ПАО)";1972
"ОАО АКБ ""Пробизнесбанк""";2412
"АО Банк ""ПСКБ""";2551
"КБ ""ЮНИАСТРУМ БАНК"" (ООО)";2771
"ЗАО ""РУССТРОЙБАНК""";3205
"ОАО ""БАНК СГБ""";2816
